legacy_timestamp	log_before	log_after	mer_before	mer_after
2019-01-03T00:29:44Z	04_5BED3A87.LOG	04_5C2D690E.LOG	<none>	04_5C2D6902.MER
2025-07-03T05:49:14Z	04_686610C8.LOG	04_686610C8.LOG	04_686645B7.MER	04_686645B7.MER
2025-07-03T12:00:19Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-03T12:07:08Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-03T12:11:24Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-03T12:16:03Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-03T15:10:12Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-04T22:23:13Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-04T22:28:48Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-04T22:31:52Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-04T22:34:32Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-06T05:52:15Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-06T05:56:05Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-07T13:09:46Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-08T20:22:45Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-10T03:35:02Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-11T10:47:08Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-12T18:10:55Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-12T18:20:53Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-14T01:33:45Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-14T01:43:56Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-15T09:03:04Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-16T16:25:42Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-17T23:41:30Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-19T06:54:09Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-20T14:06:18Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-21T21:18:43Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-23T04:31:15Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-24T11:43:42Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-25T18:56:11Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-27T02:08:43Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-28T09:20:55Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-29T16:33:17Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-07-30T23:45:43Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-01T06:58:10Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-02T14:10:45Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-03T21:23:11Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-05T04:35:46Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-06T11:48:33Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-07T19:01:10Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-09T02:13:19Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-10T09:26:04Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-11T16:38:20Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-12T23:50:38Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-13T00:01:05Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-14T07:13:42Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-15T14:26:26Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-16T21:38:42Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-18T04:51:14Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-18T05:02:48Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-19T12:15:35Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-19T12:25:36Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-20T19:40:05Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-20T19:43:25Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-20T19:57:33Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-22T03:25:01Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-23T10:37:17Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-23T10:52:31Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-24T18:07:56Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-24T18:10:46Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-26T01:26:06Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-26T01:36:24Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-27T09:16:28Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-28T16:41:07Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-29T23:56:15Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-30T00:04:56Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-31T07:16:50Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-08-31T07:27:05Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-01T14:39:11Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-01T14:49:50Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-02T22:30:33Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-04T05:42:46Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-05T12:55:58Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-05T12:58:14Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-05T13:00:46Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-05T13:03:49Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-06T20:21:13Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-08T03:40:21Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-08T03:46:04Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-08T03:50:14Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-09T11:02:43Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-10T18:16:38Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-12T01:45:04Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-12T01:47:45Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-13T09:02:27Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-14T16:16:35Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-14T16:18:49Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-15T23:33:23Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-17T06:45:38Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-17T06:52:49Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-18T14:07:08Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-19T21:30:07Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-21T04:57:37Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-22T12:38:52Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-22T12:41:18Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-23T19:57:04Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-25T03:09:39Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-25T03:21:31Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-26T10:33:52Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-26T10:37:25Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-26T10:47:59Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-27T18:00:48Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-29T01:23:37Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-29T01:26:15Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-30T08:48:55Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-09-30T09:02:59Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-10-01T16:31:26Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-10-01T16:41:01Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-10-02T23:55:12Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-10-03T00:14:41Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-10-04T07:31:42Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-10-04T07:41:22Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-10-04T08:05:29Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-10-05T15:24:34Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
2025-10-06T22:49:34Z	04_686645C5.LOG	<none>	04_68667041.MER	<none>
