legacy_timestamp	log_before	log_after	mer_before	mer_after
2019-06-21T19:15:35Z	13_5D0D2098.LOG	13_5D0D2098.LOG	13_5D108BFA.MER	13_5D108BFA.MER
2019-08-31T14:07:00Z	13_5D6A7D73.LOG	13_5D6A7D73.LOG	13_5D759F18.MER	13_5D759F18.MER
2021-12-02T16:47:29Z	13_61A8F514.LOG	13_61A8F514.LOG	13_61B47C88.MER	13_61B47C88.MER
2025-10-14T15:21:26Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2025-10-23T08:24:17Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2025-10-27T08:09:44Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2025-10-31T07:47:37Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2025-11-04T07:22:49Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2025-11-08T06:56:51Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2025-11-12T06:31:03Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2025-11-16T06:05:02Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2025-11-20T05:42:39Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2025-11-24T05:20:18Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2025-11-28T04:55:13Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2025-12-02T04:33:04Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2025-12-06T04:07:03Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2025-12-10T03:41:00Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2025-12-14T03:17:21Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2025-12-18T02:51:07Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2025-12-22T02:26:19Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2025-12-26T02:00:20Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2025-12-30T01:50:28Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-01-03T01:26:59Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-01-07T01:07:12Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-01-11T00:43:30Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-01-15T00:17:51Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-01-18T23:55:26Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-01-22T23:30:35Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-01-26T23:09:19Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-01-30T22:45:56Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-02-03T22:20:01Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-02-07T21:55:19Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-02-11T21:30:19Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-02-15T21:04:26Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-02-19T20:39:37Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-02-23T20:14:46Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-02-27T19:51:05Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-03-03T19:26:17Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-03-07T19:00:09Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-03-11T18:34:05Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-03-15T18:09:18Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-03-19T17:43:16Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-03-23T17:17:03Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-03-27T16:51:06Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-03-31T16:40:11Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-04-04T16:16:37Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-04-08T15:50:36Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-04-12T15:24:35Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-04-16T14:58:35Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-04-20T14:37:21Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-04-24T14:11:24Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-04-28T13:45:38Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-05-02T13:20:52Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-05-06T12:58:44Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-05-10T12:32:58Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-05-14T12:07:05Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-05-22T12:16:43Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-05-22T12:26:58Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-05-26T12:12:36Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-05-30T12:25:07Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-06-03T12:04:27Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
2026-06-07T12:07:19Z	13_68E2EA19.LOG	<none>	13_68EE6708.MER	<none>
