legacy_timestamp	log_before	log_after	mer_before	mer_after
2021-05-18T12:49:40Z	0058_5EFDA16F.BIN	0058_60A534D4.BIN	0058_60A3B791.MER	0058_60A525A3.MER
2021-05-18T12:53:08Z	0058_5EFDA16F.BIN	0058_60A534D4.BIN	0058_60A3B791.MER	0058_60A525A3.MER
2021-05-19T14:51:26Z	0058_5EFDA16F.BIN	0058_60A534D4.BIN	0058_60A525A3.MER	0058_60A534C8.MER
2021-05-19T14:54:11Z	0058_5EFDA16F.BIN	0058_60A534D4.BIN	0058_60A525A3.MER	0058_60A534C8.MER
2021-10-02T12:49:31Z	0058_61584FCD.BIN	0058_61584FCD.BIN	0058_616372F8.MER	0058_616372F8.MER
2021-10-21T14:07:14Z	0058_61716F9B.BIN	0058_61716F9B.BIN	0058_61753A10.MER	0058_61753A10.MER
2021-12-05T05:52:19Z	0058_61AC4CF3.BIN	0058_61AC4CF3.BIN	0058_61B77145.MER	0058_61B77145.MER
2021-12-30T00:31:53Z	0058_61CCF814.BIN	0058_61CCF814.BIN	0058_61D3142C.MER	0058_61D3142C.MER
2023-05-06T14:43:53Z	0058_645351FC.BIN	<none>	0058_64566636.MER	<none>
2023-05-06T14:48:37Z	0058_645351FC.BIN	<none>	0058_64566636.MER	<none>
2023-05-06T14:57:47Z	0058_645351FC.BIN	<none>	0058_64566636.MER	<none>
2023-05-06T15:14:59Z	0058_645351FC.BIN	<none>	0058_64566636.MER	<none>
