legacy_timestamp	log_before	log_after	mer_before	mer_after
2025-03-17T12:07:06Z	<none>	<none>	0119_67D828D3.MER	0119_67D828D3.MER
2025-03-17T12:21:16Z	<none>	<none>	0119_67D828D3.MER	0119_67D828D3.MER
2025-03-17T12:31:21Z	<none>	<none>	0119_67D828D3.MER	0119_67D828D3.MER
2025-03-17T12:39:09Z	<none>	<none>	0119_67D828D3.MER	0119_67D828D3.MER
2025-03-17T12:46:17Z	<none>	<none>	0119_67D828D3.MER	0119_67D828D3.MER
2025-03-17T12:55:16Z	<none>	<none>	0119_67D828D3.MER	0119_67D828D3.MER
2025-03-17T13:10:21Z	<none>	<none>	0119_67D828D3.MER	0119_67D828D3.MER
2025-03-17T13:20:58Z	<none>	<none>	0119_67D828D3.MER	0119_67D828D3.MER
2025-04-16T15:33:11Z	<none>	<none>	0119_682DA159.MER	0119_682DA159.MER
2025-04-16T15:45:02Z	<none>	<none>	0119_682DA159.MER	0119_682DA159.MER
2025-04-16T15:56:47Z	<none>	<none>	0119_682DA159.MER	0119_682DA159.MER
2025-09-17T07:30:51Z	<none>	<none>	0119_68CA6082.MER	0119_692718FF.MER
2025-11-26T15:15:25Z	<none>	<none>	0119_692718FF.MER	0119_6996FDC2.MER
2025-11-26T15:19:39Z	<none>	<none>	0119_692718FF.MER	0119_6996FDC2.MER
2025-11-26T15:29:46Z	<none>	<none>	0119_692718FF.MER	0119_6996FDC2.MER
2025-11-26T15:37:10Z	<none>	<none>	0119_692718FF.MER	0119_6996FDC2.MER
2025-11-26T15:43:44Z	<none>	<none>	0119_692718FF.MER	0119_6996FDC2.MER
2025-11-26T15:47:32Z	<none>	<none>	0119_692718FF.MER	0119_6996FDC2.MER
2025-11-26T15:56:52Z	<none>	<none>	0119_692718FF.MER	0119_6996FDC2.MER
2025-11-26T16:00:32Z	<none>	<none>	0119_692718FF.MER	0119_6996FDC2.MER
2025-11-26T16:08:49Z	<none>	<none>	0119_692718FF.MER	0119_6996FDC2.MER
